name,latitude,longitude
Opet,40.9739254,28.87320039999999
Class Petrol,41.0021955,28.8861638
Opet,41.0116143,28.8284225
Petrol Ofisi,41.0285068,28.9165478
Opet,41.0166298,28.9119509
Opet,41.0143008,28.9004587
Opet,40.9877495,28.8837429
Opet,41.0323582,28.8837223
Petrol Ofisi,41.0373458,28.9257159
Shell Konpet Petrol Ür.inş. Oto. Gıd. San. Tic. Ltd.şti.,41.0282456,28.8781835
Opet Zeytinburnu,40.98158,28.8908157
Shell,41.00983799999999,28.831063
Ebu Akaryakıt Bağcılar,41.0298149,28.8634451
Total,40.9968437,28.8718324
Petrol Ofisi,40.99170669999999,28.8381125
Energy,41.0425431,28.8466245
AS ROYAL PETROL TİC.LTD.ŞTİ.,41.0319772,28.9054525
ZEKİOĞLU AKARYAKIT,41.0273579,28.84733769999999
bp,40.9821728,28.8937043
Asırpet Akaryakıt,40.9951829,28.848348
Total,40.9968437,28.8718324
Shell Konpet Petrol Ür.inş. Oto. Gıd. San. Tic. Ltd.şti.,41.0282456,28.8781835
Shell,41.039621,28.9113381
Petrol Ofisi,41.0117362,28.8178079
Opet,41.0116143,28.8284225
Opet,41.027391,28.8126128
Shell,41.036766,28.852874
Opet Esenler,41.0366531,28.8873673
Opet,41.0323582,28.8837223
TotalEnergies İstasyonu,40.9910445,28.870868
Shell,41.0168225,28.9128263
Opet,40.9739254,28.87320039999999
Shell,41.00983799999999,28.831063
Opet,40.9877495,28.8837429
Petrol Ofisi,40.99170669999999,28.8381125
Shell,41.0281654,28.8993749
Class Petrol,41.0021955,28.8861638
Petrol Ofisi,41.0132343,28.8468429
TotalEnergies İstasyonu,41.03127930000001,28.8226276
Opet Bahçelievler,40.993007,28.8275134
Opet,40.9739254,28.87320039999999
Class Petrol,41.0021955,28.8861638
Petrol Ofisi,40.99170669999999,28.8381125
Opet,41.0201217,28.9088247
Shell,41.0281654,28.8993749
Total,40.9968437,28.8718324
Opet,40.9877495,28.8837429
Opet,41.0143008,28.9004587
Shell,41.039621,28.9113381
Opet,41.0116143,28.8284225
Opet Bahçelievler,40.993007,28.8275134
